gas_label,conc_label,TGS2603_mean,TGS2603_std,TGS2603_max,TGS2603_min,TGS2603_range,TGS2630_mean,TGS2630_std,TGS2630_max,TGS2630_min,TGS2630_range,TGS813_mean,TGS813_std,TGS813_max,TGS813_min,TGS813_range,TGS822_mean,TGS822_std,TGS822_max,TGS822_min,TGS822_range,MQ135_mean,MQ135_std,MQ135_max,MQ135_min,MQ135_range,MQ137_mean,MQ137_std,MQ137_max,MQ137_min,MQ137_range,MQ138_mean,MQ138_std,MQ138_max,MQ138_min,MQ138_range,S2M012_mean,S2M012_std,S2M012_max,S2M012_min,S2M012_range,VOCSP_mean,VOCSP_std,VOCSP_max,VOCSP_min,VOCSP_range,S2SH12_mean,S2SH12_std,S2SH12_max,S2SH12_min,S2SH12_range
ethanol,100ppb,0.3416622222222209,0.011134945769241547,0.3585,0.3245,0.033999999999999975,0.4387155555555568,0.028232402232230818,0.505,0.388,0.11699999999999999,1.4425788888888873,0.015047568976375053,1.4745,1.405,0.0694999999999999,0.9203850000000008,0.013427887543798145,0.9485,0.884,0.0645,1.0085444444444422,0.015280569441913326,1.0435,0.979,0.06450000000000011,1.027834444444445,0.1331611360229162,1.15,0.835,0.31499999999999995,0.7231350000000044,0.005089023864051809,0.7335,0.713,0.020500000000000074,0.8746316666666718,0.0031900274293491467,0.8815,0.868,0.013499999999999956,1.140651111111113,0.0027579075983411305,1.1475,1.1355,0.01200000000000001,3.938801111111087,0.011621646416583904,3.9715,3.924,0.047499999999999876
ethanol,100ppb,0.33924611111111,0.010907043411835026,0.355,0.322,0.032999999999999974,0.4402422222222243,0.030001818381105466,0.5075,0.3855,0.12199999999999994,1.4740172222222245,0.016596803007257993,1.5125,1.4355,0.07699999999999996,0.9200538888888893,0.01245773460719123,0.9495,0.891,0.058499999999999996,1.0173849999999973,0.01586097052866286,1.0545,0.985,0.0695,1.0359338888888896,0.12343046767935098,1.1475,0.863,0.2845,0.7356300000000058,0.004575270483807487,0.747,0.7275,0.019499999999999962,0.8717005555555614,0.0029482668585349894,0.879,0.8655,0.013499999999999956,1.1366072222222219,0.002429312444009054,1.1425,1.1305,0.01200000000000001,3.9087599999999756,0.009278808592103305,3.9365,3.8925,0.04400000000000004
ethanol,100ppb,0.34166555555555334,0.01039820135206198,0.3565,0.3245,0.03199999999999997,0.4553661111111143,0.028469147362420424,0.52,0.405,0.11499999999999999,1.5027666666666666,0.015555313490180057,1.542,1.4615,0.08050000000000002,0.9477211111111129,0.012477735678171757,0.9715,0.913,0.058499999999999996,1.0504044444444463,0.014070606960856881,1.0805,1.023,0.05750000000000011,1.0862488888888902,0.11436700305444024,1.194,0.9255,0.26849999999999996,0.7299255555555543,0.0021597356376860935,0.735,0.725,0.010000000000000009,0.8782138888888936,0.003006581001900262,0.885,0.8715,0.013499999999999956,1.141794999999997,0.0024714879683659847,1.1475,1.1355,0.01200000000000001,3.8852294444444584,0.007271089611317016,3.9045,3.874,0.03049999999999997
ethanol,100ppb,0.334157222222221,0.010924641008877117,0.349,0.316,0.032999999999999974,0.35794555555555707,0.012438507959032416,0.376,0.3355,0.04049999999999998,1.344045555555554,0.02866012778567742,1.3845,1.2915,0.09299999999999997,0.8532527777777821,0.023478068798480314,0.88,0.813,0.06700000000000006,0.9278427777777781,0.02438491116005863,0.958,0.8885,0.0695,0.9522855555555539,0.11478291642256333,1.0765,0.7945,0.28200000000000003,0.7261161111111165,0.0037215761877177293,0.735,0.719,0.016000000000000014,0.8586088888888893,0.0055341193105326696,0.868,0.8495,0.01849999999999996,1.1266050000000007,0.004468137506587931,1.133,1.1195,0.013500000000000068,3.9515527777777657,0.010259236654273888,3.9705,3.9375,0.03299999999999992
ethanol,100ppb,0.3337399999999989,0.01097475183217269,0.35,0.317,0.032999999999999974,0.3967005555555557,0.029212336620038977,0.4685,0.349,0.11950000000000005,1.3733172222222212,0.015002302899353498,1.4065,1.338,0.0685,0.8706038888888922,0.012827835895638504,0.897,0.841,0.05600000000000005,0.9591538888888912,0.014741982242293537,0.996,0.924,0.07199999999999995,0.8724399999999992,0.13975119860348648,1.001,0.676,0.32499999999999984,0.728046111111117,0.004841296473385001,0.737,0.7175,0.019499999999999962,0.8586816666666667,0.0031071686826147963,0.864,0.852,0.01200000000000001,1.124854444444446,0.002499095885898227,1.1305,1.1195,0.01100000000000012,3.9491677777777827,0.012306126096630654,3.973,3.934,0.0389999999999997
ethanol,200ppb,0.33207611111111124,0.008180704695867439,0.344,0.31,0.033999999999999975,0.3850961111111103,0.01596022613279263,0.4125,0.3515,0.061,1.353861111111109,0.04191262921428722,1.4075,1.266,0.14149999999999996,0.8842555555555528,0.0373912381629444,0.9275,0.8115,0.11599999999999999,0.9693755555555545,0.03759629949612685,1.0155,0.886,0.12950000000000006,1.0587277777777766,0.2621651023592988,1.3015,0.7115,0.5900000000000001,0.6994377777777703,0.006195250470728495,0.7155,0.6895,0.026000000000000023,0.903543888888886,0.010806531789662531,0.918,0.885,0.03300000000000003,1.1585433333333406,0.009215434516794758,1.1705,1.1425,0.028000000000000025,3.8954905555555763,0.026170311205261757,3.935,3.8665,0.06850000000000023
ethanol,200ppb,0.33486388888888735,0.007942367152660106,0.3465,0.3135,0.032999999999999974,0.4270894444444454,0.02033240570895584,0.4745,0.3905,0.08399999999999996,1.3783194444444433,0.04239528157344105,1.4345,1.295,0.13950000000000018,0.9119661111111121,0.03253557397319787,0.952,0.8485,0.10349999999999993,0.9988677777777767,0.03261541499140751,1.0415,0.923,0.11850000000000005,1.087496111111112,0.2538110654193807,1.321,0.7545,0.5665,0.6890227777777713,0.0028595421264320164,0.6945,0.6825,0.01200000000000001,0.9124599999999944,0.008970510947915216,0.924,0.8945,0.02950000000000008,1.1660677777777675,0.00765690433207942,1.177,1.151,0.026000000000000023,3.8956061111111313,0.025262370267716598,3.941,3.868,0.07299999999999995
ethanol,200ppb,0.3397399999999977,0.008034070505596059,0.3515,0.3185,0.032999999999999974,0.446856111111113,0.022218251166024394,0.498,0.404,0.09399999999999997,1.4246583333333322,0.0358418933574168,1.481,1.3475,0.13350000000000017,0.9443605555555574,0.029790793688323332,0.985,0.8825,0.10250000000000004,1.031361666666667,0.030007231119255875,1.073,0.968,0.10499999999999998,1.19814388888889,0.2243404063183867,1.41,0.8995,0.5105,0.675935,0.0025292615303461365,0.6825,0.67,0.012499999999999956,0.9240355555555612,0.008288235452349317,0.9375,0.908,0.02949999999999997,1.1768794444444477,0.006940834861905824,1.188,1.1635,0.024499999999999966,3.889833333333334,0.023116300165323494,3.941,3.863,0.07799999999999985
ethanol,200ppb,0.3378955555555534,0.008218183242205614,0.349,0.317,0.03199999999999997,0.44079888888889124,0.02087748917664641,0.4905,0.4015,0.08899999999999997,1.4056161111111132,0.03895658005165492,1.4565,1.321,0.13549999999999995,0.9297922222222228,0.03185870970316618,0.9715,0.8655,0.10599999999999998,1.0151038888888901,0.0324613708273027,1.056,0.9435,0.11250000000000004,1.1650205555555584,0.24322786383170777,1.389,0.8435,0.5455,0.6791222222222215,0.0026027881536612777,0.686,0.6725,0.013500000000000068,0.9207844444444497,0.008473532794808286,0.935,0.9035,0.031500000000000083,1.1738577777777879,0.007140556744210069,1.1865,1.1595,0.027000000000000135,3.897673888888877,0.025244780239110583,3.951,3.8705,0.08050000000000024
ethanol,200ppb,0.34158111111110895,0.00794768162484358,0.354,0.321,0.032999999999999974,0.4619599999999989,0.021860544366506526,0.51,0.42,0.09000000000000002,1.4434288888888884,0.035235634565165354,1.492,1.3685,0.12349999999999994,0.9570211111111121,0.028865196246015502,0.9975,0.8945,0.10300000000000009,1.0438116666666644,0.02974046677321809,1.085,0.978,0.10699999999999998,1.246638888888887,0.21442186776666003,1.4515,0.958,0.49350000000000005,0.6685311111111137,0.0018704214881170172,0.6735,0.664,0.009499999999999953,0.9292283333333271,0.007802302188741744,0.9425,0.913,0.02949999999999997,1.1812188888888915,0.006549798884858907,1.1915,1.167,0.024499999999999966,3.8832733333333085,0.021755631710228717,3.9275,3.858,0.06950000000000012
